"policy","size","mode","eligibleRelationshipsBeforeLengthLimits","indexedCandidates"
"compatibility","7","en_to_ar","28975","16355"
"compatibility","7","ar_to_en","28975","9824"
"compatibility","9","en_to_ar","28975","23799"
"compatibility","9","ar_to_en","28975","13513"
"compatibility","11","en_to_ar","28975","27276"
"compatibility","11","ar_to_en","28975","15234"
"compatibility","13","en_to_ar","28975","28530"
"compatibility","13","ar_to_en","28975","15789"
"approved-only","7","en_to_ar","5599","3803"
"approved-only","7","ar_to_en","5599","1807"
"approved-only","9","en_to_ar","5599","5027"
"approved-only","9","ar_to_en","5599","2223"
"approved-only","11","en_to_ar","5599","5421"
"approved-only","11","ar_to_en","5599","2373"
"approved-only","13","en_to_ar","5599","5559"
"approved-only","13","ar_to_en","5599","2417"
