policy,mode,size,length,indexedCandidates,uniqueCanonicalAnswers
"approved-only","en_to_ar","7","2","75","66"
"approved-only","en_to_ar","7","3","515","432"
"approved-only","en_to_ar","7","4","1014","892"
"approved-only","en_to_ar","7","5","982","880"
"approved-only","en_to_ar","7","6","735","664"
"approved-only","en_to_ar","7","7","482","447"
"approved-only","en_to_ar","7","8","0","0"
"approved-only","en_to_ar","7","9","0","0"
"approved-only","en_to_ar","7","10","0","0"
"approved-only","en_to_ar","7","11","0","0"
"approved-only","en_to_ar","7","12","0","0"
"approved-only","en_to_ar","7","13","0","0"
"approved-only","en_to_ar","9","2","79","69"
"approved-only","en_to_ar","9","3","572","468"
"approved-only","en_to_ar","9","4","1199","1024"
"approved-only","en_to_ar","9","5","1214","1048"
"approved-only","en_to_ar","9","6","927","807"
"approved-only","en_to_ar","9","7","656","586"
"approved-only","en_to_ar","9","8","259","236"
"approved-only","en_to_ar","9","9","121","119"
"approved-only","en_to_ar","9","10","0","0"
"approved-only","en_to_ar","9","11","0","0"
"approved-only","en_to_ar","9","12","0","0"
"approved-only","en_to_ar","9","13","0","0"
"approved-only","en_to_ar","11","2","79","69"
"approved-only","en_to_ar","11","3","589","476"
"approved-only","en_to_ar","11","4","1235","1049"
"approved-only","en_to_ar","11","5","1293","1106"
"approved-only","en_to_ar","11","6","977","843"
"approved-only","en_to_ar","11","7","735","648"
"approved-only","en_to_ar","11","8","284","256"
"approved-only","en_to_ar","11","9","150","140"
"approved-only","en_to_ar","11","10","46","45"
"approved-only","en_to_ar","11","11","33","33"
"approved-only","en_to_ar","11","12","0","0"
"approved-only","en_to_ar","11","13","0","0"
"approved-only","en_to_ar","13","2","79","69"
"approved-only","en_to_ar","13","3","593","478"
"approved-only","en_to_ar","13","4","1244","1052"
"approved-only","en_to_ar","13","5","1318","1127"
"approved-only","en_to_ar","13","6","989","850"
"approved-only","en_to_ar","13","7","770","674"
"approved-only","en_to_ar","13","8","294","265"
"approved-only","en_to_ar","13","9","160","146"
"approved-only","en_to_ar","13","10","48","46"
"approved-only","en_to_ar","13","11","34","34"
"approved-only","en_to_ar","13","12","24","23"
"approved-only","en_to_ar","13","13","6","6"
"approved-only","ar_to_en","7","2","15","15"
"approved-only","ar_to_en","7","3","180","180"
"approved-only","ar_to_en","7","4","381","381"
"approved-only","ar_to_en","7","5","386","386"
"approved-only","ar_to_en","7","6","395","395"
"approved-only","ar_to_en","7","7","450","450"
"approved-only","ar_to_en","7","8","0","0"
"approved-only","ar_to_en","7","9","0","0"
"approved-only","ar_to_en","7","10","0","0"
"approved-only","ar_to_en","7","11","0","0"
"approved-only","ar_to_en","7","12","0","0"
"approved-only","ar_to_en","7","13","0","0"
"approved-only","ar_to_en","9","2","15","15"
"approved-only","ar_to_en","9","3","180","180"
"approved-only","ar_to_en","9","4","381","381"
"approved-only","ar_to_en","9","5","386","386"
"approved-only","ar_to_en","9","6","395","395"
"approved-only","ar_to_en","9","7","450","450"
"approved-only","ar_to_en","9","8","220","220"
"approved-only","ar_to_en","9","9","196","196"
"approved-only","ar_to_en","9","10","0","0"
"approved-only","ar_to_en","9","11","0","0"
"approved-only","ar_to_en","9","12","0","0"
"approved-only","ar_to_en","9","13","0","0"
"approved-only","ar_to_en","11","2","15","15"
"approved-only","ar_to_en","11","3","180","180"
"approved-only","ar_to_en","11","4","381","381"
"approved-only","ar_to_en","11","5","386","386"
"approved-only","ar_to_en","11","6","395","395"
"approved-only","ar_to_en","11","7","450","450"
"approved-only","ar_to_en","11","8","220","220"
"approved-only","ar_to_en","11","9","196","196"
"approved-only","ar_to_en","11","10","75","75"
"approved-only","ar_to_en","11","11","75","75"
"approved-only","ar_to_en","11","12","0","0"
"approved-only","ar_to_en","11","13","0","0"
"approved-only","ar_to_en","13","2","15","15"
"approved-only","ar_to_en","13","3","180","180"
"approved-only","ar_to_en","13","4","381","381"
"approved-only","ar_to_en","13","5","386","386"
"approved-only","ar_to_en","13","6","395","395"
"approved-only","ar_to_en","13","7","450","450"
"approved-only","ar_to_en","13","8","220","220"
"approved-only","ar_to_en","13","9","196","196"
"approved-only","ar_to_en","13","10","75","75"
"approved-only","ar_to_en","13","11","75","75"
"approved-only","ar_to_en","13","12","18","18"
"approved-only","ar_to_en","13","13","26","26"
