"size","mode","seed","runFailed","attempt","template","placements","captured","smallOrZeroProbeCalls","zeroProbeCalls","uncapturedCalls"
"13","ar_to_en","1","true","1","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","0","128","298","42","142"
"13","ar_to_en","1","true","2","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","0","128","298","42","146"
"13","ar_to_en","1","true","3","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","0","128","298","42","151"
"13","ar_to_en","1","true","4","1110011100111/1111011101111/1111111111111/0011100111111/1110111110111/1111011111100/1111011101111/0011111101111/1110111110111/1111110011100/1111111111111/1111011101111/1110011100111","0","34","43","4","0"
"13","ar_to_en","1","true","5","1110111011100/1110111011111/1111111111111/0011111101111/0111001111100/1111001110111/1110111011111/1110111001111/0011110111100/0111001110111/1111111111111/1111111011111/1111110011100","0","128","340","42","193"
"13","ar_to_en","1","true","6","1110111011100/1110111011111/1111111111111/0011111101111/0111001111100/1111001110111/1110111011111/1110111001111/0011110111100/0111001110111/1111111111111/1111111011111/1111110011100","0","128","340","42","193"
"13","ar_to_en","1","true","7","1110111011100/1110111011111/1111111111111/0011111101111/0111001111100/1111001110111/1110111011111/1110111001111/0011110111100/0111001110111/1111111111111/1111111011111/1111110011100","0","128","340","42","191"
"13","ar_to_en","1","true","8","1110111011100/1110111011111/1111111111111/0011111101111/0111001111100/1111001110111/1110111011111/1110111001111/0011110111100/0111001110111/1111111111111/1111111011111/1111110011100","0","128","239","30","91"
"13","ar_to_en","1","true","9","0111011100111/1111011101111/1111111111111/1111110011100/0011101110111/0111001110111/1111011101111/1110111001110/1110111011100/0011100111111/1111111111111/1111011101111/1110011101110","0","128","405","41","255"
"13","ar_to_en","1","true","10","0111011100111/1111011101111/1111111111111/1111110011100/0011101110111/0111001110111/1111011101111/1110111001110/1110111011100/0011100111111/1111111111111/1111011101111/1110011101110","0","128","405","41","254"
"13","ar_to_en","1","true","11","0111011100111/1111011101111/1111111111111/1111110011100/0011101110111/0111001110111/1111011101111/1110111001110/1110111011100/0011100111111/1111111111111/1111011101111/1110011101110","0","128","405","41","246"
"13","ar_to_en","1","true","12","0111011100111/1111011101111/1111111111111/1111110011100/0011101110111/0111001110111/1111011101111/1110111001110/1110111011100/0011100111111/1111111111111/1111011101111/1110011101110","0","128","405","41","260"
"13","ar_to_en","1","true","13","0111011100111/1111011101111/1111111111111/1111110011100/0011101110111/0111001110111/1111011101111/1110111001110/1110111011100/0011100111111/1111111111111/1111011101111/1110011101110","0","128","395","40","245"
"13","ar_to_en","1","true","14","1110011110111/1111011111111/1111111111111/0111111101111/1110111100111/1111110011111/1111011111100/1111011111100/0011101110111/0011100111111/1111111111111/1110111001110/1110111001110","0","128","230","43","69"
"13","ar_to_en","1","true","15","1110011110111/1111011111111/1111111111111/0111111101111/1110111100111/1111110011111/1111011111100/1111011111100/0011101110111/0011100111111/1111111111111/1110111001110/1110111001110","0","128","230","43","76"
"13","ar_to_en","1","true","16","1110011110111/1111011111111/1111111111111/0111111101111/1110111100111/1111110011111/1111011111100/1111011111100/0011101110111/0011100111111/1111111111111/1110111001110/1110111001110","0","128","230","43","68"
"13","ar_to_en","1","true","17","1110011110111/1111011111111/1111111111111/0111111101111/1110111100111/1111110011111/1111011111100/1111011111100/0011101110111/0011100111111/1111111111111/1110111001110/1110111001110","0","128","230","43","74"
"13","ar_to_en","1","true","18","1110011110111/1111011111111/1111111111111/0111111101111/1110111100111/1111110011111/1111011111100/1111011111100/0011101110111/0011100111111/1111111111111/1110111001110/1110111001110","0","128","230","43","78"
