"headwords","weightedReachableDomainPct","marginalDomains","marginalWeight"
"1","22.545853090428658","177","3650.568451004721"
"2","42.28003493997551","159","3195.309637537253"
"3","57.814194607510494","123","2515.2524931180164"
"4","60.59734074035617","39","450.64009892867784"
"5","63.13568966455695","20","411.00314382262144"
"6","65.70943336913079","22","416.7341786183298"
"7","67.83171091824488","35","343.63390172006956"
"8","69.31540648530668","11","240.2362956188476"
"9","70.86114287318733","21","250.28179100318283"
"10","71.94407467203794","7","175.34562314486712"
"11","72.99684875726801","6","170.462561170851"
"12","73.75081347687798","5","122.08009195923016"
"13","74.53788705230443","9","127.44099553682672"
"14","75.29078111033422","5","121.90673309936932"
"15","76.02443243510695","7","118.7909975954799"
"16","76.76340301544016","7","119.65227822451808"
"17","77.4398543966372","5","109.5293250129808"
"18","78.06481264296494","6","101.19168470089032"
"19","78.62744249329705","5","91.09962585926189"
"20","79.19146725145504","4","91.32548586467777"
"21","79.64932834550002","6","74.1357294469705"
"22","80.06321600420065","3","67.01566017717904"
"23","80.46652969304193","4","65.30354927963718"
"24","80.85056835900524","3","62.18258552064995"
"25","81.16086291441604","4","50.242122573845215"
"26","81.46176117756445","4","48.720698303406024"
"27","81.76787819210415","3","49.56570554736662"
"28","82.05309494474548","4","46.181587128876764"
"29","82.33176190653856","3","45.12106128692261"
"30","82.62176605523108","2","46.956750389136275"
"31","82.90499737193468","2","45.86011028048529"
"32","83.18822868863828","2","45.86011028048529"
"33","83.46689565043137","3","45.12106128692261"
"34","83.71453315668337","3","40.096849029538085"
"35","83.9858121048862","3","43.92481250360578"
"36","84.25018360318097","2","42.80637539634783"
"37","84.47731498911479","2","36.77654903530733"
"38","84.70171917850242","2","36.33496815427865"
"39","84.9203973434885","3","35.407824526307536"
"40","85.16511492771338","2","39.62406251802891"
"41","85.399402727572","2","37.93529777687951"
"42","85.65644796677435","2","41.62012574771054"
"43","85.89366848136085","2","38.41015565067286"
"44","86.11567333721513","3","35.94647403674965"
"45","86.31091981998115","2","31.613824826078062"
"46","86.51201314292153","2","32.560530643461306"
"47","86.72101336426635","3","33.84079596519196"
"48","86.91864485880666","2","32"
"49","87.11973818174704","2","32.560530643461306"
"50","87.32083150468742","2","32.560530643461306"
"51","87.51295989070552","3","31.1089503567232"
"52","87.69248324221562","3","29.067974523422915"
"53","87.87127060562646","3","28.94880516111497"
"54","88.04765999174931","2","28.560530643461306"
"55","88.20280726945471","2","25.121061286922608"
"56","88.36929173405953","1","26.956750389136275"
"57","88.52923767883165","2","25.898049521980603"
"58","88.69572214343648","1","26.956750389136275"
"59","88.85086942114188","2","25.121061286922608"
"60","89.00675268694656","3","25.240230649230554"
"61","89.16189996465195","2","25.121061286922608"
"62","89.32277462300426","2","26.048424514769042"
"63","89.47792190070966","2","25.121061286922608"
"64","89.62132381308705","1","23.21928094887362"
"65","89.76472572546446","1","23.21928094887362"
"66","89.91300115187538","1","24.008388218618983"
"67","90.0533696899095","2","22.72812452053829"
