seed,size,mode,policy,ms,solverAttempts,observedReason,timeoutChecks,viableTemplates,validationErrors
"1","7","ar_to_en","approved-only","3002.577416","24","solver_deadline_observed_root_cause_unestablished","108","24","[]"
"1","9","en_to_ar","approved-only","1702.314624999999","2","solver_deadline_observed_root_cause_unestablished","25","6","[]"
"1","9","ar_to_en","approved-only","3990.972333000005","60","solver_deadline_observed_root_cause_unestablished","81","24","[]"
"1","11","ar_to_en","compatibility","4503.035500000005","24","solver_deadline_observed_root_cause_unestablished","144","24","[]"
"1","11","ar_to_en","approved-only","4363.262583000003","301","solver_deadline_observed_root_cause_unestablished","47","24","[]"
"1","13","en_to_ar","compatibility","1806.7136249999967","2","solver_deadline_observed_root_cause_unestablished","39","6","[]"
"1","13","en_to_ar","approved-only","1806.1637919999994","83","solver_deadline_observed_root_cause_unestablished","4","6","[]"
"1","13","ar_to_en","compatibility","4513.958207999996","24","solver_deadline_observed_root_cause_unestablished","129","24","[]"
"1","13","ar_to_en","approved-only","88.48574999999983","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"2","7","ar_to_en","approved-only","3002.1582500000004","24","solver_deadline_observed_root_cause_unestablished","109","24","[]"
"2","9","en_to_ar","approved-only","1702.4673750000002","2","solver_deadline_observed_root_cause_unestablished","40","6","[]"
"2","9","ar_to_en","approved-only","3991.0785419999957","56","solver_deadline_observed_root_cause_unestablished","91","24","[]"
"2","11","en_to_ar","approved-only","1803.6775000000052","2","solver_deadline_observed_root_cause_unestablished","41","6","[]"
"2","11","ar_to_en","approved-only","4501.8837080000085","258","solver_deadline_observed_root_cause_unestablished","59","24","[]"
"2","11","ar_to_en","compatibility","4501.554375000007","24","solver_deadline_observed_root_cause_unestablished","156","24","[]"
"2","13","en_to_ar","approved-only","1805.0759170000092","2","solver_deadline_observed_root_cause_unestablished","22","6","[]"
"2","13","en_to_ar","compatibility","1805.3571670000092","2","solver_deadline_observed_root_cause_unestablished","85","6","[]"
"2","13","ar_to_en","approved-only","87.08962499999325","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"2","13","ar_to_en","compatibility","4511.617832999997","24","solver_deadline_observed_root_cause_unestablished","114","24","[]"
"3","7","ar_to_en","approved-only","3002.0963749999937","24","solver_deadline_observed_root_cause_unestablished","100","24","[]"
"3","9","ar_to_en","approved-only","3991.4949999999953","54","solver_deadline_observed_root_cause_unestablished","96","24","[]"
"3","11","en_to_ar","approved-only","1804.0242080000025","2","solver_deadline_observed_root_cause_unestablished","33","6","[]"
"3","11","ar_to_en","compatibility","4502.2851669999945","24","solver_deadline_observed_root_cause_unestablished","150","24","[]"
