size,mode,policy,beforeSuccess,afterSuccess,beforeMedianMs,afterMedianMs,beforeP95Ms,afterP95Ms,beforeMedianWords,afterMedianWords,beforeMedianIntersections,afterMedianIntersections
"7","en_to_ar","compatibility","100","100","3.8605829999723937","3.900792000014917","4.6980839999741875","5.289332999964245","26","26","36","36"
"9","en_to_ar","compatibility","96.66666666666667","96.66666666666667","7.031021499991766","7.361687499942491","11.208958999952301","11.284708999970462","42","42","57","57"
"11","en_to_ar","compatibility","96.66666666666667","96.66666666666667","13.72349999999642","14.19614599999477","1095.4489579999936","1094.9833750000107","59","59","85","85"
"13","en_to_ar","compatibility","66.66666666666666","93.33333333333333","1035.460062500002","57.21537450005417","1806.879917000013","1805.9925410000142","81.5","82","119.5","119"
"7","ar_to_en","compatibility","100","100","5.1569375000253785","5.466833500016946","130.18129199999385","130.15037499996834","22","22","41","41"
"9","ar_to_en","compatibility","90","100","683.9570625000197","424.3343334999954","3991.9298750000307","1034.4592920000068","32","32","64","64"
"11","ar_to_en","compatibility","0","100","4502.323333000008","530.6967915000278","4503.377457999974","2549.3637500000186","null","44","null","97"
"13","ar_to_en","compatibility","0","93.33333333333333","4513.613020999997","479.0545835000521","4515.6825839999365","4516.874458999984","null","64","null","130.5"
"7","en_to_ar","approved-only","96.66666666666667","96.66666666666667","5.238771500007715","5.25600049996865","777.1081669999985","781.7404170000227","26","26","36","36"
"9","en_to_ar","approved-only","46.666666666666664","46.666666666666664","1701.978520500008","1701.9333340000012","1703.0116249999846","1702.785667","42","42","57","57"
"11","en_to_ar","approved-only","13.333333333333334","13.333333333333334","1803.703853999963","1803.668437500015","1804.7764590000006","1804.6087499999994","59","59","85","85"
"13","en_to_ar","approved-only","0","10","1806.2869795000006","1806.1776879999961","1807.2546670000302","1807.1364999999932","null","80","null","119"
"7","ar_to_en","approved-only","0","0","3002.2454794999794","3002.315208","3002.577416","3002.7256670000497","null","null","null","null"
"9","ar_to_en","approved-only","0","0","3991.146541499984","3990.768979499946","3991.9973330000066","3991.552167000016","null","null","null","null"
"11","ar_to_en","approved-only","0","0","4420.549145500001","4420.724354500009","4502.38625000004","4485.8529160000035","null","null","null","null"
"13","ar_to_en","approved-only","0","0","92.13008350000018","2369.676520999994","98.00612500007264","2521.8796669999865","null","null","null","null"
