experiment,size,mode,policy,runs,successful,successRate,medianMs,p95Ms,medianWords,medianIntersections,candidateCount
"baseline","7","ar_to_en","compatibility","3","3","100","14.639333999999963","121.90341600000102","22","41","2000"
"baseline","7","ar_to_en","approved-only","3","0","0","3002.585041999999","3003.3573330000004","null","null","1128"
"baseline","9","ar_to_en","compatibility","3","3","100","1317.096125","2250.3053750000036","32","64","2000"
"baseline","9","ar_to_en","approved-only","3","0","0","3991.8675829999993","3992.170959","null","null","1373"
"baseline","11","ar_to_en","compatibility","3","0","0","4503.678833","4503.683333000001","null","null","2000"
"baseline","11","ar_to_en","approved-only","3","0","0","4503.018124999995","4503.567333999999","null","null","1455"
"baseline","13","ar_to_en","compatibility","3","0","0","4512.869833999997","4514.738083","null","null","2000"
"baseline","13","ar_to_en","approved-only","3","0","0","135.34687499999927","140.92233299999498","null","null","1477"
"baseline","13","en_to_ar","compatibility","3","0","0","1806.5932089999988","1806.6129170000022","null","null","2000"
"baseline","13","en_to_ar","approved-only","3","0","0","1805.9300000000003","1806.0286250000063","null","null","2000"
"budget4","7","ar_to_en","approved-only","3","0","0","12002.16025","12005.999333","null","null","1128"
"budget4","9","ar_to_en","compatibility","3","3","100","4406.0387500000015","5109.329583000013","32","64","2000"
"budget4","11","ar_to_en","compatibility","3","0","0","18012.03775","18012.434999999998","null","null","2000"
"budget4","11","ar_to_en","approved-only","3","0","0","13713.526207999996","14693.577042000004","null","null","1455"
"budget4","13","ar_to_en","compatibility","3","0","0","18021.86454199998","18022.391958","null","null","2000"
"budget4","13","ar_to_en","approved-only","3","0","0","138.92266699999163","142.3880000000063","null","null","1477"
"budget4","13","en_to_ar","compatibility","3","0","0","7206.3213749999995","7206.628666999997","null","null","2000"
"budget4","13","en_to_ar","approved-only","3","0","0","7205.829124999989","7206.035583000004","null","null","2000"
"templates48","7","ar_to_en","approved-only","3","0","0","2982.751667000004","2982.9082090000156","null","null","1128"
"templates48","9","ar_to_en","compatibility","3","3","100","1511.6132499999949","2016.9788750000298","32","63","2000"
"templates48","11","ar_to_en","compatibility","3","0","0","4493.115791000018","4495.038334000012","null","null","2000"
"templates48","11","ar_to_en","approved-only","3","0","0","4495.2497079999885","4496.015458000009","null","null","1455"
