experiment,seed,size,mode,policy,rank,slot,depth,candidates
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":2,""col"":0,""direction"":""across"",""length"":7}","0","780"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""down"",""length"":3}","1","26"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":1,""col"":0,""direction"":""across"",""length"":3}","2","27"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":1,""direction"":""down"",""length"":3}","3","1"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","4","3"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":1,""direction"":""down"",""length"":3}","3","3"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":2,""direction"":""down"",""length"":7}","4","3"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":0,""direction"":""across"",""length"":3}","5","2"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":6,""col"":0,""direction"":""across"",""length"":3}","6","30"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":6,""direction"":""down"",""length"":3}","7","29"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":4,""direction"":""across"",""length"":3}","8","39"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":5,""direction"":""down"",""length"":3}","9","1"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":4,""direction"":""down"",""length"":7}","10","3"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":5,""direction"":""down"",""length"":3}","9","2"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":0,""col"":4,""direction"":""down"",""length"":7}","10","4"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":1,""col"":4,""direction"":""across"",""length"":3}","11","2"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":3,""col"":2,""direction"":""across"",""length"":3}","12","2"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":2,""col"":3,""direction"":""down"",""length"":3}","13","13"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":0,""direction"":""across"",""length"":7}","14","1"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":0,""direction"":""down"",""length"":3}","15","1"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":5,""col"":0,""direction"":""across"",""length"":3}","16","2"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":0,""direction"":""across"",""length"":7}","14","4"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":0,""direction"":""down"",""length"":3}","15","6"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":5,""col"":0,""direction"":""across"",""length"":3}","16","2"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":5,""col"":0,""direction"":""across"",""length"":3}","16","2"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":5,""col"":0,""direction"":""across"",""length"":3}","16","2"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":5,""col"":0,""direction"":""across"",""length"":3}","16","2"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":0,""direction"":""down"",""length"":3}","15","1"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":0,""direction"":""down"",""length"":3}","15","1"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":5,""col"":0,""direction"":""across"",""length"":3}","16","2"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":0,""direction"":""across"",""length"":7}","14","3"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":0,""direction"":""down"",""length"":3}","15","3"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":5,""col"":0,""direction"":""across"",""length"":3}","16","2"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":1,""direction"":""down"",""length"":3}","17","1"
"baseline-work-profile","1","7","ar_to_en","compatibility","0","{""row"":4,""col"":5,""direction"":""down"",""length"":3}","18","26"
