seed,size,mode,policy,success,generationMs,entries,intersections,candidateCount,candidateLengths,solverAttempts,timeoutChecks,viableTemplates,totalTemplates,validationErrors,qualityErrors,failureReason
"1","7","en_to_ar","compatibility","true","3.957125000000815","26","36","2000","{""2"":204,""3"":360,""4"":359,""5"":359,""6"":359,""7"":359}","1","0","6","6","[]","[]",""
"1","7","en_to_ar","approved-only","true","4.712791999998444","26","36","2000","{""2"":76,""3"":385,""4"":385,""5"":385,""6"":385,""7"":384}","1","0","6","6","[]","[]",""
"1","7","ar_to_en","compatibility","true","7.576375000000553","22","41","2000","{""2"":47,""3"":391,""4"":391,""5"":391,""6"":390,""7"":390}","1","0","24","24","[]","[]",""
"1","7","ar_to_en","approved-only","true","14.897541999998793","22","41","1851","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456}","1","0","24","24","[]","[]",""
"1","9","en_to_ar","compatibility","true","7.607874999997875","40","60","2000","{""2"":217,""3"":255,""4"":255,""5"":255,""6"":255,""7"":255,""8"":254,""9"":254}","1","0","6","6","[]","[]",""
"1","9","en_to_ar","approved-only","true","97.6686669999981","40","60","2000","{""2"":80,""3"":307,""4"":307,""5"":307,""6"":307,""7"":306,""8"":262,""9"":124}","1","0","6","6","[]","[]",""
"1","9","ar_to_en","compatibility","true","235.1726669999989","30","66","4000","{""2"":47,""3"":565,""4"":565,""5"":565,""6"":565,""7"":565,""8"":564,""9"":564}","2","4","24","24","[]","[]",""
"1","9","ar_to_en","approved-only","true","800.2961250000008","32","64","2272","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201}","5","12","24","24","[]","[]",""
"1","11","en_to_ar","compatibility","true","16.493792000001122","59","85","2000","{""2"":200,""3"":200,""4"":200,""5"":200,""6"":200,""7"":200,""8"":200,""9"":200,""10"":200,""11"":200}","1","0","6","6","[]","[]",""
"1","11","en_to_ar","approved-only","true","11.852624999999534","59","85","2000","{""2"":80,""3"":280,""4"":281,""5"":281,""6"":281,""7"":281,""8"":280,""9"":154,""10"":49,""11"":33}","1","0","6","6","[]","[]",""
"1","11","ar_to_en","compatibility","true","1203.7382499999985","43","92","6000","{""2"":47,""3"":629,""4"":666,""5"":666,""6"":666,""7"":666,""8"":665,""9"":665,""10"":665,""11"":665}","25","117","24","24","[]","[]",""
"1","11","ar_to_en","approved-only","true","1158.0173749999994","44","88","2426","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79}","44","55","24","24","[]","[]",""
"1","13","en_to_ar","compatibility","true","67.51237500000207","82","119","2000","{""2"":172,""3"":172,""4"":173,""5"":173,""6"":173,""7"":173,""8"":173,""9"":173,""10"":173,""11"":172,""12"":171,""13"":102}","1","0","6","6","[]","[]",""
"1","13","en_to_ar","approved-only","true","87.08974999999919","82","119","2000","{""2"":80,""3"":272,""4"":273,""5"":273,""6"":273,""7"":273,""8"":272,""9"":167,""10"":51,""11"":34,""12"":25,""13"":7}","1","0","6","6","[]","[]",""
"1","13","ar_to_en","compatibility","true","660.1126660000009","60","133","6000","{""2"":47,""3"":599,""4"":600,""5"":600,""6"":600,""7"":600,""8"":600,""9"":600,""10"":600,""11"":599,""12"":363,""13"":192}","4","10","24","24","[]","[]",""
"1","13","ar_to_en","approved-only","false","1264.8529169999965","0","0","2477","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79,""12"":18,""13"":33}","480","0","24","24","[]","[]","bounded_search_no_solution_reason_unestablished"
"2","7","en_to_ar","approved-only","true","4.469208000002254","26","35","2000","{""2"":76,""3"":385,""4"":385,""5"":385,""6"":385,""7"":384}","1","0","6","6","[]","[]",""
"2","7","en_to_ar","compatibility","true","5.006625000001804","26","35","2000","{""2"":204,""3"":360,""4"":359,""5"":359,""6"":359,""7"":359}","1","0","6","6","[]","[]",""
"2","7","ar_to_en","approved-only","true","6.924208999997063","22","41","1851","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456}","1","0","24","24","[]","[]",""
"2","7","ar_to_en","compatibility","true","130.82987499999945","22","41","2000","{""2"":47,""3"":391,""4"":391,""5"":391,""6"":390,""7"":390}","2","7","24","24","[]","[]",""
"2","9","en_to_ar","approved-only","true","1592.6076659999999","42","60","2000","{""2"":80,""3"":307,""4"":307,""5"":307,""6"":307,""7"":306,""8"":262,""9"":124}","2","24","6","6","[]","[]",""
"2","9","en_to_ar","compatibility","true","5.902000000001863","42","60","2000","{""2"":217,""3"":255,""4"":255,""5"":255,""6"":255,""7"":255,""8"":254,""9"":254}","1","0","6","6","[]","[]",""
"2","9","ar_to_en","approved-only","true","474.32945800000016","32","64","2272","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201}","3","11","24","24","[]","[]",""
"2","9","ar_to_en","compatibility","true","1050.9446670000034","32","64","4000","{""2"":47,""3"":565,""4"":565,""5"":565,""6"":565,""7"":565,""8"":564,""9"":564}","7","37","24","24","[]","[]",""
"2","11","en_to_ar","approved-only","false","1804.1960409999992","0","0","2000","{""2"":80,""3"":280,""4"":281,""5"":281,""6"":281,""7"":281,""8"":280,""9"":154,""10"":49,""11"":33}","2","54","6","6","[]","[]","solver_deadline_observed_root_cause_unestablished"
"2","11","en_to_ar","compatibility","true","1012.9222499999996","61","85","2000","{""2"":200,""3"":200,""4"":200,""5"":200,""6"":200,""7"":200,""8"":200,""9"":200,""10"":200,""11"":200}","2","31","6","6","[]","[]",""
"2","11","ar_to_en","approved-only","false","4512.784749999999","0","0","2426","{""2"":15,""3"":182,""4"":392,""5"":398,""6"":408,""7"":456,""8"":220,""9"":201,""10"":75,""11"":79}","248","82","24","24","[]","[]","solver_deadline_observed_root_cause_unestablished"
