size,mode,variant,runs,successes,medianMs,nodes,deadEnds,backtracks,rootContradictions,exhaustiveFailures,hallContradictions
11,ar_to_en,current,3,1,4503.5,2775,17486,20200,0,61,0
11,ar_to_en,dedup,3,1,4501.0,2711,17253,19903,0,61,0
11,ar_to_en,lcv,3,1,4500.9,3195,17410,20577,0,63,0
11,ar_to_en,singleton,3,1,4500.3,2486,17104,19722,0,58,0
11,ar_to_en,hall,3,1,4500.5,2745,17557,20236,0,67,0
11,ar_to_en,remainingDegree,3,1,4501.0,2782,17250,20004,0,64,0
11,ar_to_en,longest,3,1,4500.3,2768,17666,20371,0,66,0
11,ar_to_en,fixed,3,1,4500.2,2972,17634,20566,0,64,0
11,ar_to_en,stable,3,1,4499.9,2928,17671,20538,0,65,0
11,ar_to_en,noWindow,3,1,4501.0,2791,17613,20339,0,65,0
11,ar_to_en,combined,3,1,4502.2,2902,16969,19949,0,60,0
13,ar_to_en,current,3,0,4514.7,632,15972,16310,0,311,0
13,ar_to_en,dedup,3,0,4517.5,576,14970,15277,0,285,0
13,ar_to_en,lcv,3,0,4513.9,661,15623,15995,0,306,0
13,ar_to_en,singleton,3,0,4514.7,549,15553,16067,0,308,0
13,ar_to_en,hall,3,0,4513.2,640,15973,16324,0,309,0
13,ar_to_en,remainingDegree,3,0,4513.9,596,15758,16069,0,303,0
13,ar_to_en,longest,3,0,4513.5,648,15935,16296,0,305,0
13,ar_to_en,fixed,3,0,4511.8,638,15919,16267,0,307,0
13,ar_to_en,stable,3,0,4513.1,675,15988,16376,0,305,0
13,ar_to_en,noWindow,3,0,4511.7,612,15972,16295,0,307,0
13,ar_to_en,combined,3,0,4515.6,562,14183,14710,0,279,0
13,en_to_ar,current,3,3,121.0,1015,1169,2089,0,0,0
13,en_to_ar,dedup,3,2,80.8,6927,19611,26404,0,0,0
13,en_to_ar,lcv,3,3,644.3,5830,16817,22816,0,0,0
13,en_to_ar,singleton,3,3,124.3,720,1168,1787,0,0,0
13,en_to_ar,hall,3,3,108.2,1015,1169,2089,0,0,0
13,en_to_ar,remainingDegree,3,3,145.0,1046,1179,2130,0,0,0
13,en_to_ar,longest,3,3,116.3,1015,1169,2089,0,0,0
13,en_to_ar,fixed,3,3,85.1,392,181,329,0,0,0
13,en_to_ar,stable,3,3,90.3,369,185,310,0,0,0
13,en_to_ar,noWindow,3,3,117.4,1015,1169,2089,0,0,0
13,en_to_ar,combined,3,3,78.0,322,299,368,0,0,0
