size,mode,variant,runs,successes,medianMs,nodes,deadEnds,backtracks,rootContradictions,exhaustiveFailures,hallContradictions
11,ar_to_en,current,3,1,4504.6,2726,17341,20005,0,62,0
11,ar_to_en,memo,3,1,3425.1,2631,11957,14558,0,30,0
11,ar_to_en,shareBudget,3,1,4511.5,2726,17386,20050,0,62,0
11,ar_to_en,memoShare,3,1,3719.1,3213,12891,16077,0,38,0
11,ar_to_en,comboMemo,3,1,3729.9,3305,14062,17438,0,37,0
11,ar_to_en,independentCombo,3,0,4512.3,8745,24961,33867,0,37,0
13,ar_to_en,current,3,0,4514.8,643,15845,16205,0,303,0
13,ar_to_en,memo,3,0,1185.8,212,3870,4020,0,72,0
13,ar_to_en,shareBudget,3,0,4523.5,605,15927,16240,0,310,0
13,ar_to_en,memoShare,3,0,1236.9,212,3870,4020,0,72,0
13,ar_to_en,comboMemo,3,0,1268.0,179,3813,3987,0,72,0
13,ar_to_en,independentCombo,3,0,1169.1,158,3702,3838,0,72,0
13,en_to_ar,current,3,3,104.6,1015,1169,2089,0,0,0
13,en_to_ar,memo,3,3,106.0,1015,1169,2089,0,0,0
13,en_to_ar,shareBudget,3,3,107.1,1015,1169,2089,0,0,0
13,en_to_ar,memoShare,3,3,103.8,1015,1169,2089,0,0,0
13,en_to_ar,comboMemo,3,3,77.6,322,299,368,0,0,0
13,en_to_ar,independentCombo,3,3,209.0,662,1052,1627,0,0,0
