size,mode,variant,runs,successes,medianMs,nodes,deadEnds,backtracks,rootContradictions,exhaustiveFailures,hallContradictions
9,ar_to_en,current,3,2,1206.0,2046,7808,9829,0,0,0
9,ar_to_en,oldOrder,3,3,790.5,2736,5639,8303,0,0,0
9,ar_to_en,lexical,3,3,838.4,1520,4538,6020,0,0,0
9,ar_to_en,frequency,3,2,2354.7,6803,16561,23600,0,0,0
9,ar_to_en,shuffle17,3,2,1190.0,2025,8402,10398,0,0,0
9,ar_to_en,shuffle71,3,3,934.5,1593,4250,5786,0,0,0
9,ar_to_en,oldTemplates,3,3,828.4,1131,4164,5206,0,0,0
9,ar_to_en,oldBoth,3,3,829.9,1135,4244,5290,0,0,0
9,ar_to_en,independentTemplates,3,3,427.3,1310,2206,3436,0,0,0
11,ar_to_en,current,3,1,4502.0,2396,15910,18243,0,54,0
11,ar_to_en,oldOrder,3,1,4504.6,2217,14962,17154,0,54,0
11,ar_to_en,lexical,3,1,4503.3,3053,16918,19949,0,68,0
11,ar_to_en,frequency,3,1,4505.3,2464,14925,17347,0,53,0
11,ar_to_en,shuffle17,3,0,4503.0,3210,17437,20671,0,52,0
11,ar_to_en,shuffle71,3,0,4503.7,2434,16476,18930,0,55,0
11,ar_to_en,oldTemplates,3,2,3627.9,2696,13730,16385,0,39,0
11,ar_to_en,oldBoth,3,2,3629.7,2611,13501,16070,0,40,0
11,ar_to_en,independentTemplates,3,1,4503.2,2232,15394,17552,0,55,0
13,ar_to_en,current,3,0,4515.2,562,14553,14846,0,284,0
13,ar_to_en,oldOrder,3,0,4514.6,625,14714,15074,0,282,0
13,ar_to_en,lexical,3,0,4514.5,669,16453,16823,0,316,0
13,ar_to_en,frequency,3,0,4516.0,618,14828,15177,0,286,0
13,ar_to_en,shuffle17,3,0,4514.4,598,14789,15120,0,284,0
13,ar_to_en,shuffle71,3,0,4515.8,618,14928,15277,0,287,0
13,ar_to_en,oldTemplates,3,0,4514.7,668,14552,14961,0,280,0
13,ar_to_en,oldBoth,3,0,4513.0,662,14472,14882,0,273,0
13,ar_to_en,independentTemplates,3,0,4515.9,581,15501,15773,0,319,0
11,en_to_ar,current,3,2,17.0,131861,1,353224,0,0,0
11,en_to_ar,oldOrder,3,3,15.7,63547,275,148455,0,0,0
11,en_to_ar,lexical,3,3,19.4,770,0,1686,0,0,0
11,en_to_ar,frequency,3,3,12.5,73421,92,199641,0,0,0
11,en_to_ar,shuffle17,3,3,1012.8,108129,0,267096,0,0,0
11,en_to_ar,shuffle71,3,3,55.7,30138,0,80220,0,0,0
11,en_to_ar,oldTemplates,3,2,12.8,132584,1,354785,0,0,0
11,en_to_ar,oldBoth,3,2,12.4,133313,1,355894,0,0,0
11,en_to_ar,independentTemplates,3,2,1012.5,125062,5503,339575,0,0,0
13,en_to_ar,current,3,3,108.1,1015,1169,2089,0,0,0
13,en_to_ar,oldOrder,3,2,109.9,4821,13838,18558,0,0,0
13,en_to_ar,lexical,3,3,70.3,3603,7428,10973,0,0,0
13,en_to_ar,frequency,3,3,247.4,1818,3007,4672,0,0,0
13,en_to_ar,shuffle17,3,3,99.8,2308,2400,4619,0,0,0
13,en_to_ar,shuffle71,3,2,80.4,4684,9391,14101,0,0,0
13,en_to_ar,oldTemplates,3,3,109.3,1015,1169,2089,0,0,0
13,en_to_ar,oldBoth,3,3,108.9,1015,1169,2089,0,0,0
13,en_to_ar,independentTemplates,3,3,81.7,1670,2236,3946,0,0,0
