size,mode,variant,runs,successes,medianMs,nodes,deadEnds,backtracks,rootContradictions,exhaustiveFailures,hallContradictions
9,ar_to_en,current,3,2,1205.6,2169,8341,10488,0,0,0
9,ar_to_en,pairUniqueness,3,2,1211.1,1214,5836,6984,0,0,0
9,ar_to_en,strongUniqueness,3,2,1210.1,1190,5826,6991,0,0,0
9,ar_to_en,strongMemo,3,2,1216.4,1190,5896,7058,0,0,0
11,ar_to_en,current,3,1,4500.5,2717,17094,19750,0,60,0
11,ar_to_en,pairUniqueness,3,1,4501.1,1680,14834,16419,0,51,0
11,ar_to_en,strongUniqueness,3,1,4500.3,1558,14400,16005,0,49,0
11,ar_to_en,strongMemo,3,1,4511.6,2004,11709,13757,0,28,0
13,ar_to_en,current,3,0,4515.3,604,15612,15934,0,299,0
13,ar_to_en,pairUniqueness,3,0,4514.6,402,13076,13202,7,269,0
13,ar_to_en,strongUniqueness,3,0,4513.6,391,12846,13141,7,263,0
13,ar_to_en,strongMemo,3,0,4522.6,347,11772,12045,2,215,0
