size,mode,policy,before_success,before_median_ms,before_p95_ms,before_words,before_intersections,after_success,after_median_ms,after_p95_ms,after_words,after_intersections
7,en_to_ar,compatibility,30,3.852375000002212,5.026333000016166,26,36,30,3.7407085000049847,5.710499999986496,26,36
9,en_to_ar,compatibility,30,7.436792000022251,14.788292000012007,42,57,30,7.234082999995735,14.805999999982305,42,57
11,en_to_ar,compatibility,28,14.502228999997897,1803.808416999993,59.5,85,28,14.889916500003892,1803.8702080000076,59.5,85
13,en_to_ar,compatibility,28,60.384083500004635,1806.066541999986,82,119,28,60.638458500019624,1806.255749999982,82,119
7,ar_to_en,compatibility,30,5.292125499996473,130.47499999999127,22,41,30,5.349145500003942,130.44199999999546,22,41
9,ar_to_en,compatibility,30,367.5164994999941,1030.7400000000052,31,65.5,30,367.2483540000103,1031.5832080000037,31,65.5
11,ar_to_en,compatibility,30,857.5469165000104,1201.8613339999574,42,89.5,30,805.9586879999952,1179.0538330000127,42.5,90
13,ar_to_en,compatibility,29,881.4562494999991,4359.215666999982,62,131,30,80.98479149999912,96.09179200002109,52,91.5
7,en_to_ar,approved-only,30,3.5082709999842336,902.7315829999861,26,36,30,3.5802500000136206,902.7047500000044,26,36
9,en_to_ar,approved-only,27,14.42727050000758,1702.5365839999868,42,57,27,14.121895999995104,1702.4990000000107,42,57
11,en_to_ar,approved-only,19,1022.0572709999979,1804.2499160000007,60,85,19,1021.6696875000125,1804.311625000002,60,85
13,en_to_ar,approved-only,17,1074.7143959999994,1807.1331670000072,80,119,17,1076.175103999998,1806.7563749999972,80,119
7,ar_to_en,approved-only,29,14.45385399999941,165.46354200001224,22,41,29,14.060125499992864,164.16049999999814,22,41
9,ar_to_en,approved-only,30,748.5286250000063,1268.146458000003,32,64,30,747.455707999994,1260.337458000009,32,64
11,ar_to_en,approved-only,12,4512.071958500004,4513.710625000007,44,88,12,4511.941208499993,4513.872625000004,44,88
13,ar_to_en,approved-only,0,1032.2276874999807,1262.8812920000055,,,30,49.23306250000314,257.81699999999546,52,90
