grid,mode,policy,beforeSuccess,afterSuccess,beforeMedianMs,afterMedianMs,beforeP95Ms,afterP95Ms,beforeWords,afterWords,beforeIntersections,afterIntersections
7,en_to_ar,compatibility,100,100,4.1227079999989655,3.852375000002212,5.6777080000028946,5.026333000016166,26,26,36,36
9,en_to_ar,compatibility,100,100,7.998416499991436,7.436792000022251,15.592250000016065,14.788292000012007,42,42,57,57
11,en_to_ar,compatibility,93.33333333333333,93.33333333333333,16.756645999998,14.502228999997897,1804.1768750000047,1803.808416999993,59.5,59.5,85,85
13,en_to_ar,compatibility,93.33333333333333,93.33333333333333,60.34904149999784,60.384083500004635,1806.9562920000171,1806.066541999986,82,82,119,119
7,ar_to_en,compatibility,100,100,6.092395499988925,5.292125499996473,132.97320800001035,130.47499999999127,22,22,41,41
9,ar_to_en,compatibility,100,100,378.9134374999994,367.5164994999941,1045.3168330000044,1030.7400000000052,31,31,65.5,65.5
11,ar_to_en,compatibility,100,100,1205.5999999999913,857.5469165000104,2343.652457999997,1201.8613339999574,42,42,88,89.5
13,ar_to_en,compatibility,96.66666666666667,96.66666666666667,483.5351459999947,881.4562494999991,4018.056749999989,4359.215666999982,64,62,131,131
7,en_to_ar,approved-only,100,100,3.792229500009853,3.5082709999842336,903.0328329999465,902.7315829999861,26,26,36,36
9,en_to_ar,approved-only,90,90,14.83927049999329,14.42727050000758,1702.5999580000062,1702.5365839999868,42,42,57,57
11,en_to_ar,approved-only,63.33333333333333,63.33333333333333,1023.4140415000074,1022.0572709999979,1805.1176669999986,1804.2499160000007,60,60,85,85
13,en_to_ar,approved-only,56.666666666666664,56.666666666666664,1074.2526669999934,1074.7143959999994,1807.8738750000193,1807.1331670000072,80,80,119,119
7,ar_to_en,approved-only,96.66666666666667,96.66666666666667,16.650354499979585,14.45385399999941,171.493959000014,165.46354200001224,22,22,41,41
9,ar_to_en,approved-only,100,100,774.4315630000056,748.5286250000063,1300.3904579999798,1268.146458000003,32,32,64,64
11,ar_to_en,approved-only,36.666666666666664,40,4512.921437500001,4512.071958500004,4514.846167000011,4513.710625000007,44,44,88,88
13,ar_to_en,approved-only,0,0,1361.682812500003,1032.2276874999807,1677.648583000002,1262.8812920000055,,,,
