seed,variant,success,ms,words,intersections,impossibleMs,templatesAttempted,solverCalls
1,A,False,1142.8675,0,0,1108.300203000002,24,480
1,B,False,24.381082999999762,0,0,0,0,0
1,C,False,1090.535625,0,0,1065.3976549999984,24,480
1,D,False,23.56775000000016,0,0,0,0,0
2,A,False,1151.6894579999998,0,0,1127.2212549999972,24,480
2,B,False,21.891500000000633,0,0,0,0,0
2,C,False,1146.186041,0,0,1123.5406729999895,24,480
2,D,False,21.14025000000038,0,0,0,0,0
3,A,False,1238.6243329999998,0,0,1212.388206999999,24,480
3,B,False,24.90308300000015,0,0,0,0,0
3,C,False,1253.221125,0,0,1227.911788000013,24,480
3,D,False,24.19220900000073,0,0,0,0,0
4,A,False,1151.5046249999996,0,0,1127.5673919999954,24,480
4,B,False,22.63837500000045,0,0,0,0,0
4,C,False,1126.7799999999988,0,0,1103.5135430000082,24,480
4,D,False,21.79199999999946,0,0,0,0,0
5,A,False,1060.3689159999994,0,0,1036.9691279999897,24,480
5,B,False,22.102458000001207,0,0,0,0,0
5,C,False,1097.9454999999998,0,0,1076.5660369999969,24,480
5,D,False,21.50616600000103,0,0,0,0,0
6,A,False,1204.567000000001,0,0,1178.5187839999962,24,480
6,B,False,23.54254199999923,0,0,0,0,0
6,C,False,1198.5457910000005,0,0,1174.5346669999944,24,480
6,D,False,23.109875000000102,0,0,0,0,0
7,A,False,1602.058959,0,0,1577.4863349999923,24,461
7,B,False,26.329249999998865,0,0,0,0,0
7,C,False,1663.1692500000026,0,0,1639.7657900000304,24,461
7,D,False,22.014290999999503,0,0,0,0,0
8,A,False,1474.9789579999997,0,0,1450.2487370000454,24,461
8,B,False,22.22345900000073,0,0,0,0,0
8,C,False,1478.5147919999981,0,0,1454.7862999999597,24,461
8,D,False,22.274333000001207,0,0,0,0,0
9,A,False,1056.9445830000004,0,0,1034.190673000001,24,480
9,B,False,21.550083999998606,0,0,0,0,0
9,C,False,1037.9019169999992,0,0,1015.7588739999774,24,480
9,D,False,20.822957999997016,0,0,0,0,0
10,A,False,1372.9844159999993,0,0,1349.885723000043,24,480
10,B,False,20.667958000001818,0,0,0,0,0
10,C,False,1379.190541,0,0,1355.7136419999915,24,480
10,D,False,21.45904100000189,0,0,0,0,0
11,A,False,944.7307919999985,0,0,920.4727619999976,24,480
11,B,False,22.251749999999447,0,0,0,0,0
11,C,False,940.5683329999993,0,0,917.7211810000008,24,480
11,D,False,22.16608400000041,0,0,0,0,0
12,A,False,1456.8086250000015,0,0,1434.3401580000245,24,480
12,B,False,21.38416700000016,0,0,0,0,0
